"block"	"trial"	"order"	"st"	"stim_space"	"stim_time"	"repro_size"	"repro_speed"	"repro_time"	"t_cue_present"	"t_stim_start"	"t_stim_end"	"t_repro_start"	"t_repro_end"	"t_trial_start"	"t_trial_end"	"id"
1	59	38	1	1	0	5.5	0	9.36150455474854	1479.87015	1474.336686	1478.33692	1482.3765226	1491.7378607	1473.8115705	1494.25359	"01"
1	60	22	1	1	0	5.5	0	6.09183955192566	1517.8212603	1512.2878496	1516.2879727	1518.6965903	1524.7887847	1511.7681783	1527.304996	"01"
1	61	20	1	0	0	5.5	0	6.93231129646301	1533.3717735	1527.838232	1531.8381479	1534.0566084	1540.9893372	1527.3133444	1543.5047755	"01"
1	62	33	0	0	1	4.41759999999996	5	5.94333553314209	1553.5722999	1544.0386848	1552.039982	1554.5125755	1560.4563429	1543.5132439	1562.9717757	"01"
1	63	11	0	1	1	5.63360000000002	7.5	6.03945851325989	1573.0395349	1563.50593	1571.5056452	1573.8166707	1579.8569461	1562.9803014	1582.3722066	"01"
1	64	26	0	1	0	5.95811764705878	8.5	7.33272266387939	1588.4400158	1582.9065119	1586.9061712	1589.8087322	1597.1411568	1582.380603	1599.6567647	"01"
1	65	5	1	0	1	5.5	0	7.0458722114563	1609.7239307	1600.190332	1608.1910121	1610.7287248	1617.7748307	1599.6650333	1620.2909991	"01"
1	66	3	0	1	1	6.84228571428586	7	7.11134552955627	1630.3578646	1620.8243324	1628.8254459	1631.2806515	1638.3921183	1620.2993682	1640.9073068	"01"
1	67	7	1	1	1	5.5	0	8.62694787979126	1650.9751336	1641.4415242	1649.4424166	1652.4326562	1661.0594379	1640.9156377	1663.5750372	"01"
1	68	36	1	0	0	5.5	0	4.12858390808105	1669.6423287	1664.1088344	1668.1093195	1670.4810808	1674.6098108	1663.5834795	1677.1263235	"01"
1	69	29	1	0	1	5.5	0	9.3615128993988	1687.1928578	1677.6592276	1685.6604222	1688.0486956	1697.410494	1677.1347931	1699.9263908	"01"
