"subjectNumber"	"trialNumber"	"blockNumber"	"conditionST"	"roomSizeSL"	"roomShowSpaceWall1"	"roomShowSpaceWall2"	"roomShowSpaceWall3"	"roomShowSpaceWall4"	"timeSL"	"reproductionStartWall1"	"reproductionStartWall2"	"reproductionStartWall3"	"reproductionStartWall4"	"reproductionTime"	"reproductionEndWall1"	"reproductionEndWall2"	"reproductionEndWall3"	"reproductionEndWall4"	"reproSpaceStartAbs"	"reproSpaceEndAbs"	"reproChangeAbs"	"reproSpeed"	"roomColor"	"trialStart"	"cuePresent"	"RoomPresentStart"	"RoomPresentEnd"	"ReproScene"	"reproductionStart"	"reproductionEnd"	"trialEnd"
1001	17	1	1	1	-2	2	2	-2	1	-0.5	0.5	0.5	-0.5	2.71075439453125	-1.85517799854279	1.85517799854279	1.85517799854279	-1.85517799854279	1	13.7667417526245	12.7667417526245	3	1	0	565.323669433594	560.813659667969	564.812438964844	565.323669433594	566.645324707031	569.356079101562	569.356079101562
1001	18	1	1	2	-3.5	3.5	3.5	-3.5	2	-0.5	0.5	0.5	-0.5	7.83026123046875	-3.11013126373291	3.11013126373291	3.11013126373291	-3.11013126373291	1	38.6916656494141	37.6916656494141	9	5	0	580.85009765625	572.341857910156	580.339172363281	580.85009765625	582.894592285156	590.724853515625	590.724853515625
1001	19	1	1	1	-2	2	2	-2	2	-0.5	0.5	0.5	-0.5	4.58734130859375	-2.02909374237061	2.02909374237061	2.02909374237061	-2.02909374237061	1	16.4688854217529	15.4688854217529	4.5	4	0	602.240661621094	593.721557617188	601.729797363281	602.240661621094	603.452087402344	608.039428710938	608.039428710938
1001	20	1	1	1	-2	2	2	-2	2	-0.5	0.5	0.5	-0.5	4.18792724609375	-2.07011079788208	2.07011079788208	2.07011079788208	-2.07011079788208	1	17.1414356231689	16.1414356231689	4	3	0	637.513916015625	629.0068359375	637.003967285156	637.513916015625	638.803283691406	642.9912109375	642.9912109375
1001	21	1	1	2	-3.5	3.5	3.5	-3.5	2	-0.5	0.5	0.5	-0.5	6.13116455078125	-3.1276433467865	3.1276433467865	3.1276433467865	-3.1276433467865	1	39.1286125183105	38.1286125183105	7	1	0	654.762390136719	646.254699707031	654.251647949219	654.762390136719	656.118408203125	662.249572753906	662.249572753906
1001	22	1	2	1	-2	2	2	-2	2	-2.75	2.75	2.75	-2.75	7.23077392578125	-2.75	2.75	2.75	-2.75	30.25	30.25	0	0	2	0	673.732055664062	665.225219726562	673.221130371094	673.732055664062	675.621032714844	682.851806640625	682.851806640625
1001	23	1	2	2	-3.5	3.5	3.5	-3.5	1	-2.75	2.75	2.75	-2.75	3.57611083984375	-2.75	2.75	2.75	-2.75	30.25	30.25	0	0	4	0	690.3583984375	685.849670410156	689.847961425781	690.3583984375	691.859252929688	695.435363769531	695.435363769531
1001	24	1	2	1	-2	2	2	-2	2	-2.75	2.75	2.75	-2.75	6.44189453125	-2.75	2.75	2.75	-2.75	30.25	30.25	0	0	3	0	706.962707519531	698.454345703125	706.452087402344	706.962707519531	708.740661621094	715.182556152344	715.182556152344
1001	25	1	1	2	-3.5	3.5	3.5	-3.5	1	-0.5	0.5	0.5	-0.5	7.47491455078125	-3.30324292182922	3.30324292182922	3.30324292182922	-3.30324292182922	1	43.6456565856934	42.6456565856934	8	3	0	722.722106933594	718.201965332031	722.211853027344	722.722106933594	725.266540527344	732.741455078125	732.741455078125
1001	26	1	2	1	-2	2	2	-2	2	-2.75	2.75	2.75	-2.75	8.3634033203125	-2.75	2.75	2.75	-2.75	30.25	30.25	0	0	1	0	744.268859863281	735.761657714844	743.758422851562	744.268859863281	745.480346679688	753.84375	753.84375
1001	27	1	2	1	-2	2	2	-2	2	-2.75	2.75	2.75	-2.75	7.26312255859375	-2.75	2.75	2.75	-2.75	30.25	30.25	0	0	4	0	765.37109375	756.863159179688	764.860168457031	765.37109375	766.571533203125	773.834655761719	773.834655761719
1001	28	1	2	1	-2	2	2	-2	1	-2.75	2.75	2.75	-2.75	3.9439697265625	-2.75	2.75	2.75	-2.75	30.25	30.25	0	0	4	0	781.608520507812	777.099365234375	781.098022460938	781.608520507812	782.731079101562	786.675048828125	786.675048828125
1001	29	1	2	2	-3.5	3.5	3.5	-3.5	1	-2.75	2.75	2.75	-2.75	4.8970947265625	-2.75	2.75	2.75	-2.75	30.25	30.25	0	0	5	0	794.091430664062	789.582946777344	793.581420898438	794.091430664062	795.437377929688	800.33447265625	800.33447265625
1001	30	1	2	1	-2	2	2	-2	1	-2.75	2.75	2.75	-2.75	3.9539794921875	-2.75	2.75	2.75	-2.75	30.25	30.25	0	0	2	0	807.841735839844	803.332153320312	807.33056640625	807.841735839844	808.953430175781	812.907409667969	812.907409667969
1001	31	1	1	1	-2	2	2	-2	1	-0.5	0.5	0.5	-0.5	5.52008056640625	-2.15615057945251	2.15615057945251	2.15615057945251	-2.15615057945251	1	18.5959415435791	17.5959415435791	5	5	0	820.425720214844	815.915710449219	819.914489746094	820.425720214844	821.803283691406	827.323364257812	827.323364257812
1001	32	1	2	2	-3.5	3.5	3.5	-3.5	2	-2.75	2.75	2.75	-2.75	6.9632568359375	-2.75	2.75	2.75	-2.75	30.25	30.25	0	0	2	0	838.87255859375	830.354064941406	838.362365722656	838.87255859375	840.39599609375	847.359252929688	847.359252929688
1001	33	1	1	2	-3.5	3.5	3.5	-3.5	1	-0.5	0.5	0.5	-0.5	7.7523193359375	-3.60107612609863	3.60107612609863	3.60107612609863	-3.60107612609863	1	51.8709983825684	50.8709983825684	7.5	2	0	854.877197265625	850.368347167969	854.366455078125	854.877197265625	856.122131347656	863.874450683594	863.874450683594
1001	34	1	2	1	-2	2	2	-2	1	-2.75	2.75	2.75	-2.75	3.83111572265625	-2.75	2.75	2.75	-2.75	30.25	30.25	0	0	1	0	871.425659179688	866.916137695312	870.915100097656	871.425659179688	872.893188476562	876.724304199219	876.724304199219
1001	35	1	2	1	-2	2	2	-2	1	-2.75	2.75	2.75	-2.75	4.1318359375	-2.75	2.75	2.75	-2.75	30.25	30.25	0	0	3	0	884.253479003906	879.733276367188	883.742858886719	884.253479003906	885.320556640625	889.452392578125	889.452392578125
1001	36	1	2	2	-3.5	3.5	3.5	-3.5	1	-2.75	2.75	2.75	-2.75	4.9981689453125	-2.75	2.75	2.75	-2.75	30.25	30.25	0	0	2	0	896.992492675781	892.471923828125	896.482055664062	896.992492675781	898.092895507812	903.091064453125	903.091064453125
1001	37	1	2	2	-3.5	3.5	3.5	-3.5	2	-2.75	2.75	2.75	-2.75	6.4195556640625	-2.75	2.75	2.75	-2.75	30.25	30.25	0	0	4	0	914.873962402344	906.366088867188	914.363342285156	914.873962402344	916.263305664062	922.682861328125	922.682861328125
1001	38	1	1	1	-2	2	2	-2	1	-0.5	0.5	0.5	-0.5	3.6981201171875	-2.08522415161133	2.08522415161133	2.08522415161133	-2.08522415161133	1	17.3926391601562	16.3926391601562	3.5	2	0	930.2119140625	925.702453613281	929.701171875	930.2119140625	931.25732421875	934.955444335938	934.955444335938
1001	39	1	1	1	-2	2	2	-2	2	-0.5	0.5	0.5	-0.5	3.5987548828125	-2.04238533973694	2.04238533973694	2.04238533973694	-2.04238533973694	1	16.6853523254395	15.6853523254395	3.5	2	0	946.50439453125	937.996765136719	945.994018554688	946.50439453125	948.226989746094	951.825744628906	951.825744628906
1001	40	2	1	2	-3.5	3.5	3.5	-3.5	2	-0.5	0.5	0.5	-0.5	7.61895751953125	-3.03975749015808	3.03975749015808	3.03975749015808	-3.03975749015808	1	36.9605026245117	35.9605026245117	9	5	0	978.057739257812	969.539123535156	977.547546386719	978.057739257812	979.491760253906	987.110717773438	987.110717773438
1001	41	2	1	1	-2	2	2	-2	1	-0.5	0.5	0.5	-0.5	4.287109375	-2.33737325668335	2.33737325668335	2.33737325668335	-2.33737325668335	1	21.8532543182373	20.8532543182373	3.5	2	0	994.6845703125	990.174743652344	994.173522949219	994.6845703125	995.807189941406	1000.09429931641	1000.09429931641
1001	42	2	1	1	-2	2	2	-2	2	-0.5	0.5	0.5	-0.5	4.39837646484375	-2.14949750900269	2.14949750900269	2.14949750900269	-2.14949750900269	1	18.4813575744629	17.4813575744629	4	3	0	1011.66552734375	1003.14691162109	1011.15545654297	1011.66552734375	1012.73272705078	1017.13110351562	1017.13110351562
1001	43	2	2	2	-3.5	3.5	3.5	-3.5	2	-2.75	2.75	2.75	-2.75	7.2076416015625	-2.75	2.75	2.75	-2.75	30.25	30.25	0	0	4	0	1028.6806640625	1020.17321777344	1028.17028808594	1028.6806640625	1031.19201660156	1038.39965820312	1038.39965820312
1001	44	2	1	1	-2	2	2	-2	1	-0.5	0.5	0.5	-0.5	3.35400390625	-2.17705678939819	2.17705678939819	2.17705678939819	-2.17705678939819	1	18.9583053588867	17.9583053588867	3	1	0	1045.94018554688	1041.43054199219	1045.42919921875	1045.94018554688	1047.39611816406	1050.75012207031	1050.75012207031
1001	45	2	1	2	-3.5	3.5	3.5	-3.5	1	-0.5	0.5	0.5	-0.5	5.3978271484375	-2.29930591583252	2.29930591583252	2.29930591583252	-2.29930591583252	1	21.1472301483154	20.1472301483154	9	5	0	1058.34631347656	1053.83654785156	1057.83532714844	1058.34631347656	1060.60119628906	1065.9990234375	1065.9990234375
1001	46	2	2	1	-2	2	2	-2	2	-2.75	2.75	2.75	-2.75	7.9637451171875	-2.75	2.75	2.75	-2.75	30.25	30.25	0	0	4	0	1077.57116699219	1069.06323242188	1077.06042480469	1077.57116699219	1078.97119140625	1086.93493652344	1086.93493652344
